1.049661486970301594e+00,6.104966148697030093e+01,4.444953709375838002e+02,5.578174304243477764e+02,5.878174304243477764e+02
2.301898206346439046e+00,3.980189820634643638e+01,4.730189820634643638e+01,1.102585979212152836e+02,1.177585979212152836e+02
2.644560468253840391e+00,3.264456046825384306e+01,8.991860824333242874e+01,1.405663744148582168e+02,1.743315518625420850e+02
2.727936877358474455e+00,5.522793687735847357e+01,3.955638637690107089e+02,4.105638637690107089e+02,7.940095732196241443e+02
3.573084245451527696e+00,1.107308424545152725e+01,5.607308424545152548e+01,9.384710407437283664e+01,1.129384533327323652e+02
4.291011648347961227e+00,2.679101164834796123e+01,7.179101164834796123e+01,1.095650314772692724e+02,1.286563807356288009e+02
4.691794758090987116e+00,1.423746938727075140e+01,7.719416910213961103e+01,8.978550904511338615e+01,2.643720584880708770e+02
5.571473171394375257e+00,2.057147317139437348e+01,6.829984631729320199e+01,2.706348743508742700e+02,5.325146985153105561e+02
6.581644815388370873e+00,5.908164481538837265e+01,8.771866870292765839e+01,4.705965864560364480e+02,4.780965864560364480e+02
6.590895568648802438e+00,2.159089556864880421e+01,1.349129550554127377e+02,1.424129550554127377e+02,5.737893781873528951e+02
7.086766254692236977e+00,4.458676625469223609e+01,6.708676625469223609e+01,2.694217942882733041e+02,2.844217942882733041e+02
7.430416543226079362e+00,7.493041654322607314e+01,1.882524760299900208e+02,2.763918556308063899e+02,2.988918556308063899e+02
7.533138006235388318e+00,7.503313800623539009e+01,1.932112590731288719e+02,2.027569337023086291e+02,3.376469523913626745e+02
7.821580230851338023e+00,7.464130263510968177e+01,1.124153224640309929e+02,1.461804999117148327e+02,3.588904542189974336e+02
7.852037592150622913e+00,3.035203759215062291e+01,4.535203759215062291e+01,1.577603864996956418e+02,2.054887596455944845e+02
8.754308127800040751e+00,2.784565738615956931e+01,1.629063671768949746e+02,2.384544068347375969e+02,3.566325279016310787e+02
9.180015276611555919e+00,9.509108693922944155e+01,2.974261149728104670e+02,3.642458373770688240e+02,3.792458373770688240e+02
9.423906066737332665e+00,5.715227921263615940e+01,7.215227921263615940e+01,3.049343451365795090e+02,3.622083929116581089e+02
9.671091829206131862e+00,7.717109182920613364e+01,8.671676645838590503e+01,4.112433645107111602e+02,4.262433645107111602e+02
1.009837890171684904e+01,7.009837890171684194e+01,1.560094505643347134e+02,1.860094505643347134e+02,2.873049829073862611e+02
1.025056354294654604e+01,7.707028594720489423e+01,4.605159953978184149e+02,4.980159953978184149e+02,5.205159953978184149e+02
1.109573310591999373e+01,7.109573310591999018e+01,9.627841299186752622e+01,4.797241224424810184e+02,9.498438274075765548e+02
1.588399167265870560e+01,9.224938870609682340e+01,5.311266294564468353e+02,7.930064536208831214e+02,8.230064536208831214e+02
1.661969367105165674e+01,1.299417531578155831e+02,1.776701263037144258e+02,2.063071501912537258e+02,2.314898300772012760e+02
1.788096545082743205e+01,4.038096545082743205e+01,9.765501322590601774e+01,1.857943928267224010e+02,6.246716335770724982e+02
